property_id,street_name,city,state,latitude,longitude,postcode,price,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,land_space_unit,property_type,agency_name
29965608,W Hill Rd,Elmira,NY,42.10815,-76.839165,14903,159900,3,2,128,1248,0.4017,acres,SINGLE_FAMILY,Listing by: Warren Real Estate-Corning
29965526,Hope St,Elmira,NY,42.120903,-76.821724,14903,80900,2,2,85,946,6011.28,sqft,SINGLE_FAMILY,Listing by: Signature Properties
29971078,Lounsbury Ave,Elmira Heights,NY,42.133446,-76.81671,14903,28000,1,1,25,1088,4704.48,sqft,SINGLE_FAMILY,Listing by: Warren Real Estate
29971006,Lynwood Ave,Elmira,NY,42.130527,-76.825005,14903,89000,3,2,69,1288,8712,sqft,SINGLE_FAMILY,Listing by: Keller Williams Realty Southern Tier&Finger Lakes
29974362,Lenox Ave,Elmira,NY,42.13976,-76.82582,14903,185000,3,1,123,1504,0.42,acres,SINGLE_FAMILY,Listing by: Keller Williams Realty Southern Tier&Finger Lakes
29971448,Scottwood Ave,Elmira,NY,42.127888,-76.820206,14903,79900,6,2,30,2652,5227.2,sqft,MULTI_FAMILY,Listing by: Keller Williams Realty Southern Tier&Finger Lakes
29971447,Scottwood Ave,Elmira,NY,42.12775,-76.820175,14903,74900,3,1,42,1757,4791.6,sqft,SINGLE_FAMILY,Listing by: Keller Williams Realty Southern Tier&Finger Lakes
29974087,W Lenox Ave,Elmira,NY,42.143147,-76.832466,14903,109000,2,1,100,1088,8712,sqft,SINGLE_FAMILY,Listing by: Keller Williams Realty Southern Tier&Finger Lakes
29970909,W 15th St,Elmira,NY,42.129265,-76.82875,14903,99000,4,2,67,1460,8712,sqft,SINGLE_FAMILY,Listing by: Keller Williams Realty Southern Tier&Finger Lakes
2071566206,McCauley Ave,Elmira,NY,,,14903,89900,3,1,57,1571,0.275,acres,SINGLE_FAMILY,Listing by: Howard Hanna Elmira
53169507,Quail Run,Elmira,NY,42.130833,-76.902084,14903,495000,4,3,167,2959,32.42,acres,SINGLE_FAMILY,Listing by: Howard Hanna Corning Market St.
29965429,W McCanns Blvd,Elmira Heights,NY,42.119316,-76.82551,14903,74900,3,2,64,1162,7013.16,sqft,SINGLE_FAMILY,Listing by: Howard Hanna Horseheads
29971304,Elmwood Ave,Elmira Heights,NY,42.128582,-76.822014,14903,45000,,,21,2106,6000,sqft,MULTI_FAMILY,Listing by: Howard Hanna Horseheads
2067108869,County Route 64,Elmira,NY,42.14371,-76.90202,14903,159990,3,2,151,1056,0.663,acres,SINGLE_FAMILY,Listing by: MJ Peterson Real Estate Inc.
29971105,Ohanlon Ave,Elmira Heights,NY,42.131718,-76.81718,14903,168000,,,57,2910,7875,sqft,MULTI_FAMILY,Listing by: Keller Williams Realty (Stfl)
29965627,Hillcrest Rd,Elmira,NY,42.103752,-76.85343,14903,485000,6,6,106,4549,4.19,acres,SINGLE_FAMILY,Listing by: Keller Williams Realty Southern Tier&Finger Lakes
55751345,Benedict Blvd,Elmira,NY,42.130753,-76.86015,14903,799999,3,3,295,2706,28.42,acres,SINGLE_FAMILY,Listing by: Four Seasons Sotheby's Int'l
29971314,College Ave,Elmira,NY,42.126854,-76.82487,14903,49999,6,2,20,2394,7000,sqft,MULTI_FAMILY,Listing by: Warren Real Estate
2066661149,Valley View Dr,Elmira,NY,42.138504,-76.89902,14903,90500,,,,0,5.01,acres,LOT,Listing by: Howard Hanna Horseheads
2067393794,Hibbard Rd,Elmira,NY,42.14113,-76.92708,14903,29900,,,,0,7.159,acres,LOT,Listing by: Howard Hanna Horseheads
2072175941,State Rte #70,Swain,NY,,,14884,59500,,0,,,17.51,acres,LOT,Listing by: Howard Hanna
2070469519,Isaman Hill Rd,Swain,NY,42.46052,-77.84611,14884,119000,,0,,0,79.4,acres,LOT,Listing by: RE/MAX Realty Group
29630399,Blakley Rd,Swain,NY,42.44889,-77.907036,14884,29900,2,1,,,9.1,acres,LOT,Listing by: Landquest Inc.
2075833919,Co Rd,Swain,NY,,,14884,16500,,0,,,1.058,acres,LOT,Listing by: Empire Realty Group
32594344,Miller Rd,Rexville,NY,42.004616,-77.636314,14877,399900,,,,0,174.4,acres,LOT,"Listing by: LandQuest, Inc."
2064119039,Vl Sr #248,Rexville,NY,,,14877,269900,,0,,,153.7,acres,LOT,Listing by: WHITETAIL PROPERTIES REAL ESTATE LLC
209316294,King Hill Rd,Rexville,NY,42.102177,-77.69026,14877,224900,,0,,,129,acres,LOT,Listing by: WHITETAIL PROPERTIES REAL ESTATE LLC
299733022,Aspen Rd,Rexville,NY,42.08347,-77.693855,14877,112999,1,1,144,780,7.14,acres,SINGLE_FAMILY,Listing by: MJ Peterson Real Estate Inc.
2068447106,Loomis Rd,Rexville,NY,42.09455,-77.65606,14877,259900,,,,0,142,acres,LOT,"Listing by: LandQuest, Inc."
32594184,Keenan Rd,Rexville,NY,42.08124,-77.693954,14877,128500,2,1,118,1080,5.02,acres,SINGLE_FAMILY,Listing by: Keller Williams Realty Greater Rochester
2065686273,Shamrock Rd,Rexville,NY,42.045116,-77.7378,14877,249900,,0,,,125,acres,LOT,Listing by: Landquest Inc.
2065639384,Shamrock Rd W,Rexville,NY,42.047104,-77.74214,14877,224900,1,1,160,1404,32.1,acres,SINGLE_FAMILY,Listing by: Landquest Inc.
2066689821,Irish Hill Rd,Rexville,NY,42.06876,-77.68329,14877,299900,3,1,180,1664,85,acres,SINGLE_FAMILY,"Listing by: LandQuest, Inc."
2068588512,Maple Rd,Rexville,NY,42.052017,-77.71539,14877,209900,1,1,272,770,60,acres,SINGLE_FAMILY,Listing by: Howard Hanna
2093692283,Slocum Rd,Rexville,NY,42.01891,-77.70959,14877,69900,,0,,,20.9,acres,LOT,Listing by: Howard Hanna Professionals-Coudersport
2064173983,Macdowell Rd,Odessa,NY,42.33751,-76.79196,14869,39900,,,,0,1.45,acres,LOT,Listing by: Cabins to Castles
2064388180,Texas Hollow Rd,Odessa,NY,,,14869,39900,,,,0,1.35,acres,LOT,Listing by: Cabins to Castles
2064174009,Cotton Hanlon Rd LOT 3,Odessa,NY,42.340157,-76.80071,14869,39900,,,,0,1.33,acres,LOT,Listing by: Cabins to Castles
2064174023,Cotton Hanlon Rd LOT 1,Odessa,NY,42.340157,-76.80071,14869,39900,,,,0,1.39,acres,LOT,Listing by: Cabins to Castles
32788696,Church St,Odessa,NY,42.32944,-76.789894,14869,164900,3,2,110,1492,1,acres,SINGLE_FAMILY,Listing by: Warren Real Estate - Watkins Glen
2067275197,E Main St,Odessa,NY,42.336597,-76.78904,14869,15000,,0,,,6098.4,sqft,LOT,Listing by: Warren Real Estate of Ithaca
66482959,Lockwood Run Rd,Lockwood,NY,42.10533,-76.57874,14859,85000,3,2,52,1620,2.39,acres,SINGLE_FAMILY,Listing by: Warren Real Estate-Waverly
66528647,Ridge Rd,Lockwood,NY,42.106895,-76.51849,14859,199500,3,1,92,2160,41.7,acres,SINGLE_FAMILY,Listing by: Coldwell Banker Preferred Properties
2067901435,Hunters Brae Rd,Lockwood,NY,,,14859,1250000,3,4,207,6021,,,SINGLE_FAMILY,Listing by: EXIT REALTY HOMEWARD BOUND
2105768330,Ellison Rd,Lockwood,NY,42.10393,-76.5433,14859,19900,,0,,,3.9,acres,LOT,Listing by: Landquest Inc.
305043615,Ridge Rd,Lockwood,NY,42.124382,-76.501144,14859,249000,3,2,207,1200,69,acres,SINGLE_FAMILY,Listing by: Warren Real Estate
2071335225,& 0 Lockwood Run Rd,Lockwood,NY,42.106525,-76.57974,14859,335000,,0,,,183.84,acres,LOT,Listing by: Laurel Country Properties
2095842026,Lockwood Run Rd,Lockwood,NY,42.120865,-76.584595,14859,335000,,,,0,183.74,acres,LOT,"Listing by: Laurel Management, Inc."
2065425571,Hall Rd,Himrod,NY,42.593945,-76.92145,14842,39900,2,1,134,297,2613.6,sqft,SINGLE_FAMILY,Listing by: Keller Williams Realty Gateway
2067749576,Plum Point Rd #16,Himrod,NY,42.59787,-76.92428,14842,249900,3,2,221,1128,4791.6,sqft,SINGLE_FAMILY,Listing by: Keller Williams Realty Gateway
2067749656,Plum Point Rd LOT 17,Himrod,NY,42.59787,-76.92428,14842,254900,3,2,209,1214,5662.8,sqft,SINGLE_FAMILY,Listing by: Keller Williams Realty Gateway
2067773477,Plum Point Rd LOT 15,Himrod,NY,42.59787,-76.92428,14842,264900,2,2,210,1260,4791.6,sqft,SINGLE_FAMILY,Listing by: Keller Williams Realty Gateway
2065782801,McMahon Rd,Canaseraga,NY,42.381695,-77.91596,14822,219900,,0,,,123.6,acres,LOT,Listing by: WHITETAIL PROPERTIES REAL ESTATE LLC
2064278764,Town Line Rd,Canaseraga,NY,,,14822,78900,1,1,205,384,9.2,acres,SINGLE_FAMILY,Listing by: Landquest Inc.
2065882697,Hiltonville Rd,Canaseraga,NY,42.39187,-77.90089,14822,60000,2,1,44,1344,1.8,acres,SINGLE_FAMILY,Listing by: Howard Hanna
2076441662,Allen Birdsall Townline Rd,Canaseraga,NY,,,14822,179900,,0,,,60.9,acres,LOT,"Listing by: Recckio R.E. & Development,Inc"
2064206871,Myers Rd,Bradford,NY,42.36612,-77.13765,14815,164900,,,,0,46.96,acres,LOT,Listing by: Keuka Lake & Land Realty Bath
32793169,Koziatek Rd,Bradford,NY,42.38801,-77.088394,14815,349000,3,3,279,1248,3.25,acres,SINGLE_FAMILY,Listing by: Keller Williams Realty Gateway
32793142,W Lake Rd,Bradford,NY,42.382015,-77.10182,14815,259000,2,1,237,1092,45.64,acres,SINGLE_FAMILY,"Listing by: Wine Trail Properties, LLC"
32795027,Huggins Rd,Bradford,NY,42.391876,-77.07946,14815,510000,3,2,227,2240,4.3,acres,SINGLE_FAMILY,Listing by: Howard Hanna Lake Group
32793358,Goundry Hill Rd,Bradford,NY,42.34184,-77.08791,14815,199900,3,2,141,1416,55,acres,SINGLE_FAMILY,Listing by: Warren Real Estate
2068033866,Yawger Hill Rd,Bradford,NY,42.343914,-77.097176,14815,450000,,,252,1780,163,acres,LOT,Listing by: Keuka Lake & Land Realty Bath
2068654580,McNutt Runrd,Bradford,NY,,,14815,79900,4,1,31,2532,1.91,acres,SINGLE_FAMILY,Listing by: Richard Winters Real Estate
2065582815,Westlake Rd,Bradford,NY,,,14815,77500,,,,0,5,acres,LOT,Listing by: Howard Hanna Lake Group Hammondsport
2067827386,State Route 226 NE,Bradford,NY,42.366737,-77.10056,14815,245675,,0,,,98.27,acres,LOT,Listing by: Howard Hanna
32584715,State Route 36,Arkport,NY,42.38891,-77.69559,14807,174900,4,2,85,2051,0.25,acres,SINGLE_FAMILY,Listing by: Howard Hanna
32585122,State Route 36,Arkport,NY,42.385723,-77.69261,14807,149000,2,1,91,1634,0.69,acres,SINGLE_FAMILY,Listing by: Howard Hanna
32584764,Clover Ter,Arkport,NY,42.389324,-77.68812,14807,229000,4,3,164,1393,0.3,acres,SINGLE_FAMILY,Listing by: Howard Hanna
32583010,County Route 46,Arkport,NY,42.426945,-77.64347,14807,289900,3,3,175,1650,7,acres,SINGLE_FAMILY,Listing by: Howard Hanna
32585192,Knoll Top Ct,Arkport,NY,42.38371,-77.66909,14807,349600,4,3,124,2817,4.1,acres,SINGLE_FAMILY,Listing by: SVR Realty LLC
32584734,Holly Ct,Arkport,NY,42.390007,-77.68677,14807,249900,5,4,102,2430,7810.308,sqft,SINGLE_FAMILY,Listing by: Howard Hanna
32584589,Hurlbut St,Arkport,NY,42.39394,-77.69869,14807,40000,3,1,55,720,8868.816,sqft,MANUFACTURED,Listing by: Howard Hanna
71200676,Knoll Top Ct,Arkport,NY,42.384468,-77.668015,14807,199000,3,3,139,1428,0.75,acres,SINGLE_FAMILY,Listing by: Howard Hanna
32580583,County Route 46,Arkport,NY,42.47504,-77.65563,14807,129900,3,2,70,1852,10.68,acres,SINGLE_FAMILY,Listing by: Wine Country Real Estate of NY
61999852,Ellis Hill Rd,Arkport,NY,42.38794,-77.730125,14807,139500,3,2,103,1352,2,acres,MANUFACTURED,Listing by: Keller Williams Southern Tier
2067712603,L B Rd,Arkport,NY,42.46057,-77.75055,14807,222900,3,2,161,1380,0.47,acres,SINGLE_FAMILY,Listing by: Howard Hanna
2075811949,County Route 67,Arkport,NY,42.392334,-77.70333,14807,189900,,0,,,99.5,acres,LOT,Listing by: Landquest Inc.
29926806,W Main St,Sherman,NY,42.15903,-79.5985,14781,59000,3,1,30,1908,8028.108,sqft,SINGLE_FAMILY,Listing by: Century 21 Turner Brokers
2068378686,Mina French Creek Rd,Sherman,NY,42.12118,-79.691124,14781,229800,3,2,172,1336,15,acres,SINGLE_FAMILY,Listing by: Howard & Associates RE-APP-AUCT
29926776,Park St,Sherman,NY,42.162548,-79.58559,14781,159000,4,2,84,1888,0.4939,acres,SINGLE_FAMILY,Listing by: Century 21 Turner Brokers
29926745,Edmunds St,Sherman,NY,42.162933,-79.58782,14781,109500,4,2,27,3969,0.6158,acres,SINGLE_FAMILY,Listing by: Century 21 Turner Brokers
2070272306,Park St,Sherman,NY,42.161743,-79.59858,14781,17500,,0,,,0.6705,acres,LOT,Listing by: Century 21 Turner Brokers
29629398,Portville Obi Rd,Portville,NY,42.059177,-78.304756,14770,59000,3,1,61,960,2.2,acres,MANUFACTURED,Listing by: Howard Hanna Professionals
29880772,W Carroll Rd,Portville,NY,42.005,-78.33581,14770,169900,3,2,95,1788,6.3,acres,SINGLE_FAMILY,Listing by: Howard Hanna Professionals
29629424,Deer Creek Rd,Portville,NY,42.046974,-78.28453,14770,395000,4,2,136,2896,3.5,acres,SINGLE_FAMILY,Listing by: Premier Listings Real Estate LLC
29880882,Prosser Rd,Portville,NY,42.01265,-78.315834,14770,149000,3,2,106,1404,9748.728,sqft,SINGLE_FAMILY,Listing by: Howard Hanna Professionals
29880629,Portville Olean Rd,Portville,NY,42.050804,-78.35385,14770,135000,3,1,120,1120,0.7355,acres,SINGLE_FAMILY,Listing by: ERA Team VP Real Estate
2100132799,Coon Hollow Rd,Portville,NY,42.07403,-78.24531,14770,22900,,0,,,9.8,acres,LOT,Listing by: Landquest Inc.
29879685,Temple St,Portville,NY,42.039272,-78.3393,14770,79900,2,2,64,1237,6576,sqft,SINGLE_FAMILY,Listing by: Southern Tier Realty Co. Inc.
212378602,Yubadam Rd,Portville,NY,42.096313,-78.31596,14770,9900,,0,,,1.7,acres,LOT,Listing by: Hunt Real Estate ERA
2118766733,E Lake Rd APT 11,Dewittville,NY,42.22908,-79.43959,14728,180000,2,2,183,980,958.32,sqft,CONDO,Listing by: Howard Hanna Holt - Mayville
305322764,Brown Rd,Bemus Pt,NY,42.17567,-79.384766,14712,899000,,0,899,1000,44.4,acres,LOT,Listing by: Century 21 Turner Brokers
2065606796,S Frontage Rd,Bemus Pt,NY,42.167267,-79.388885,14712,499900,3,4,143,3495,1,acres,SINGLE_FAMILY,Listing by: Century 21 Turner Brokers
29905228,Magnolia Springs Rd,Mayville,NY,42.178043,-79.444374,14757,395000,2,2,419,942,0.287,acres,SINGLE_FAMILY,Listing by: Real Estate Advantage
89598600,Maple Springs Ellery Rd,Bemus Pt,NY,42.19623,-79.40951,14712,585000,4,5,367,1590,8.1,acres,SINGLE_FAMILY,Listing by: ERA Team VP Real Estate
2078216868,Broadway Rd,Bemus Pt,NY,42.191166,-79.41202,14712,22500,,0,,,0.4964,acres,LOT,Listing by: Century 21 Turner Brokers
29917852,Route 394,Mayville,NY,42.17252,-79.44562,14757,80000,2,2,83,960,2,acres,MANUFACTURED,Listing by: EXP Realty
212365309,Sullivan Hollow Rd,Kill Buck,NY,42.151226,-78.645905,14748,90000,,0,,,5,acres,LOT,Listing by: eXp Realty
2066824766,Sullivan Hollow Extension Ext,Great Valley,NY,42.154984,-78.63627,14741,21000,,0,,,5,acres,LOT,Listing by: eXp Realty
2066824765,Sullivan Hollow Extension Ext,Great Valley,NY,42.154984,-78.63627,14741,21000,,0,,,5,acres,LOT,Listing by: eXp Realty
2066824764,Sullivan Hollow Extension Ext,Great Valley,NY,42.15254,-78.637405,14741,21000,,0,,,5,acres,LOT,Listing by: eXp Realty
2066824789,Sullivan Hollow Extension Ext,Great Valley,NY,42.154984,-78.63627,14741,21000,,0,,,5,acres,LOT,Listing by: eXp Realty
2071751266,Sullivan Hollow Rd,Kill Buck,NY,,,14748,20000,,0,,,5,acres,LOT,Listing by: eXp Realty
29871438,Thorpe Hollow Rd,Kill Buck,NY,42.133057,-78.64388,14748,184900,3,1,157,1176,5.32,acres,SINGLE_FAMILY,Listing by: Keller WilliamsRealtyLancaster
2064205990,Old Chautauqua Rd,Gerry,NY,42.247192,-79.14244,14740,225000,,0,,,77,acres,LOT,Listing by: Timberland Realty
202316419,Old Chautauqua Rd,Gerry,NY,42.234646,-79.19839,14740,195000,,0,,,124,acres,LOT,Listing by: Timberland Realty
29913043,Gerry Levant Rd,Gerry,NY,42.17978,-79.23113,14740,189900,3,2,121,1568,3,acres,SINGLE_FAMILY,Listing by: Keller Williams Realty
29912914,Melvin Ln,Gerry,NY,42.197197,-79.243195,14740,169900,3,2,103,1637,1.6,acres,SINGLE_FAMILY,Listing by: Century 21 Turner Brokers
83925175,Canterbury Dr,Clymer,NY,42.064194,-79.7458,14724,329000,3,4,198,1660,5227.2,sqft,TOWNHOUSE,Listing by: Howard Hanna Holt - Mayville
83925151,Old Road Camelot UNIT 4401,Clymer,NY,42.059834,-79.73394,14724,125000,1,1,250,500,435.6,sqft,CONDO,Listing by: ERA Team VP Real Estate
202294280,W Mina Rd,Clymer,NY,42.10063,-79.75379,14724,1975000,4,4,361,5462,59.9,acres,SINGLE_FAMILY,Listing by: Real Estate Advantage
29912419,Reagan Rd,Clymer,NY,42.07111,-79.678535,14724,249900,6,3,89,2798,2.8,acres,SINGLE_FAMILY,Listing by: Keller Williams Realty
2064210698,Shadyside Rd,Clymer,NY,42.09341,-79.721596,14724,449000,4,1,246,1824,0.27,acres,SINGLE_FAMILY,Listing by: Real Estate Advantage
202315344,Clymer Sherman Rd,Clymer,NY,42.022125,-79.63033,14724,119900,4,2,71,1676,0.2904,acres,SINGLE_FAMILY,Listing by: ERA Team VP Real Estate
29905865,E Main St,Clymer,NY,42.021282,-79.6174,14724,105000,3,2,37,2780,2.109,acres,SINGLE_FAMILY,Listing by: Howard Hanna
83926790,Route 474,Clymer,NY,42.023884,-79.71438,14724,328500,2,2,228,1436,35.5,acres,SINGLE_FAMILY,Listing by: Howard & Associates RE-APP-AUCT
29906011,Clymer Hill Rd,Clymer,NY,42.026466,-79.614586,14724,305000,3,2,104,2912,5,acres,SINGLE_FAMILY,Listing by: Marsha Marsh Real Estate
29917391,W Mina Rd,Clymer,NY,42.106155,-79.75498,14724,639500,4,4,266,2403,8,acres,SINGLE_FAMILY,Listing by: Howard & Associates RE-APP-AUCT
215715441,State Route 19,Caneadea,NY,42.39095,-78.15742,14717,299900,3,3,162,1848,2.04,acres,SINGLE_FAMILY,Listing by: Landquest Inc.
124183914,State Route 19,Caneadea,NY,42.388794,-78.15324,14717,117900,5,3,47,2496,0.33,acres,SINGLE_FAMILY,Listing by: Landquest Inc.
29626035,State Route 19,Caneadea,NY,42.38727,-78.15385,14717,26000,3,1,16,1564,0.28,acres,SINGLE_FAMILY,Listing by: CENTURY 21 Gold Standard
29623095,County Road 16,Angelica,NY,42.318565,-77.9526,14709,149900,2,2,95,1572,1,acres,SINGLE_FAMILY,Listing by: Keller Williams Southern Tier
2064180162,Gillies Hill Rd,Angelica,NY,42.392857,-77.931755,14709,44900,,0,,,19.4,acres,LOT,Listing by: Landquest Inc.
29624047,County Road 16,Angelica,NY,42.389847,-77.92514,14709,85900,1,1,57,1500,8.8,acres,SINGLE_FAMILY,Listing by: Landquest Inc.
29623016,Peavy Rd,Angelica,NY,42.324642,-78.0467,14709,299000,4,2,115,2592,11.1,acres,SINGLE_FAMILY,Listing by: Homestar Realty
2066571046,Gillies Hill Rd,Angelica,NY,42.393044,-77.945335,14709,78900,2,1,74,1056,2.4,acres,SINGLE_FAMILY,Listing by: Landquest Inc.
2075833702,County Road 16,Angelica,NY,,,14709,43900,,0,,,19.8,acres,LOT,Listing by: Landquest Inc.
2067054934,Old State Rd,Angelica,NY,42.298992,-78.05477,14709,98900,,0,,,30.458,acres,LOT,Listing by: Landquest Inc.
2067786908,County Road 2,Angelica,NY,42.298595,-77.97827,14709,85000,,0,,,49.1,acres,LOT,Listing by: Landquest Inc.
2068579165,Old York Dr,Angelica,NY,42.367687,-77.918915,14709,59900,2,1,83,720,5,acres,SINGLE_FAMILY,Listing by: Landquest Inc.
237421312,Barclay Square Dr,Rochester,NY,43.118538,-77.58396,14618,459900,5,4,176,2609,0.33,acres,SINGLE_FAMILY,Listing by: Hunt Real Estate ERA/Columbus
30906705,French Rd,Rochester,NY,43.098198,-77.572464,14618,174900,3,3,136,1280,3920.4,sqft,TOWNHOUSE,Listing by: Geraci Realty
30897458,Elmerston Rd,Rochester,NY,43.116287,-77.62361,14620,239900,4,3,151,1586,5662.8,sqft,SINGLE_FAMILY,Listing by: Revolution Real Estate
30963075,Gloucester Cir,Rochester,NY,43.069206,-77.610825,14623,189900,3,2,124,1524,9600.624,sqft,SINGLE_FAMILY,"Listing by: eXp Realty, LLC"
30961128,Surrey Hill Way,Rochester,NY,43.090908,-77.57381,14623,209900,2,3,134,1565,5227.2,sqft,TOWNHOUSE,Listing by: Paragon Choice Realty LLC
103731898,Covington Woods,Pittsford,NY,43.069283,-77.563934,14534,795000,4,3,282,2810,0.5,acres,SINGLE_FAMILY,Listing by: Spall Realty Corp
30905955,Viennawood Dr,Rochester,NY,43.106922,-77.56899,14618,259900,3,2,183,1418,0.47,acres,SINGLE_FAMILY,Listing by: Howard Hanna
30963861,Galahad Dr,Rochester,NY,43.06157,-77.60704,14623,189900,4,2,114,1664,0.37,acres,SINGLE_FAMILY,Listing by: RE/MAX Plus
30897089,Westview Ter,Rochester,NY,43.12304,-77.6168,14620,210000,3,2,160,1307,4408.272,sqft,SINGLE_FAMILY,Listing by: Keller Williams Realty Greater Rochester
30963410,Cape Cod Way,Rochester,NY,43.06502,-77.59364,14623,179900,3,1,172,1040,0.36,acres,SINGLE_FAMILY,Listing by: RE/MAX Titanium LLC
30897258,Fort Hill Ter,Rochester,NY,43.12174,-77.61665,14620,149900,3,2,109,1364,3598.056,sqft,SINGLE_FAMILY,"Listing by: eXp Realty, LLC"
30905085,Sunnyside Dr,Rochester,NY,43.105556,-77.62593,14623,195000,3,1,129,1506,0.25,acres,SINGLE_FAMILY,Listing by: Howard Hanna
30897269,Boothe St,Rochester,NY,43.11967,-77.617226,14620,242500,5,2,148,1631,0.2755,acres,SINGLE_FAMILY,Listing by: Eastman Property Management
30897083,Westview Ter,Rochester,NY,43.122387,-77.61707,14620,232900,4,2,131,1768,5671.512,sqft,SINGLE_FAMILY,Listing by: Eastman Property Management
30959574,Hollybrook Rd,Rochester,NY,43.075756,-77.59788,14623,129900,3,2,129,1000,0.3444,acres,SINGLE_FAMILY,Listing by: Keller Williams Realty Greater Rochester
70908029,Harvest Gln,Pittsford,NY,43.063053,-77.56891,14534,729000,5,5,177,4114,0.52,acres,SINGLE_FAMILY,Listing by: The Greene Realty Group
237493724,Prentiss Way,Henrietta,NY,43.0552,-77.62799,14467,189900,4,2,108,1758,0.27,acres,SINGLE_FAMILY,Listing by: Keller Williams Realty Greater Rochester
30896124,Shelbourne Rd,Rochester,NY,43.116646,-77.6252,14620,199900,3,1,165,1210,6076.62,sqft,SINGLE_FAMILY,Listing by: Keller Williams Realty Greater Rochester
30906503,Eastbrooke Ln,Rochester,NY,43.101646,-77.57551,14618,125000,2,1,123,1012,3484.8,sqft,TOWNHOUSE,Listing by: Keller Williams Realty Greater Rochester
299458738,Willowford Dr,Henrietta,NY,43.052006,-77.613174,14467,433900,2,3,222,1949,,,SINGLE_FAMILY,Listing by: Marrano Marc/Equity Corp
299458988,Parkglen Dr,Henrietta,NY,43.051376,-77.612854,14467,419900,2,2,243,1727,,,SINGLE_FAMILY,Listing by: Marrano Marc/Equity Corp
30961202,Chasewood Cir,Rochester,NY,43.087734,-77.573875,14618,239900,2,2,143,1671,2874.96,sqft,TOWNHOUSE,Listing by: RE/MAX Realty Group
